EmployeeID,Name,Age,Department,Salary,Salary_Category,Experience,City,Bonus
101,Rahul,25.0,IT,50000.0,Medium,2.0,Ahmedabad,5000.0
102,Priya,0.0,HR,45000.0,Medium,3.0,Surat,4500.0
104,Amit,0.0,IT,70000.0,High,5.0,Vadodara,7000.0
105,Kajal,22.0,Unknown,40000.0,Low,1.0,Ahmedabad,4000.0
106,Rohit,29.0,Sales,0.0,Low,4.0,Surat,0.0
107,Neha,27.0,Finance,0.0,Low,3.0,Rajkot,0.0
108,Vijay,31.0,IT,65000.0,High,6.0,Ahmedabad,6500.0
109,Pooja,200.0,HR,48000.0,Medium,2.0,Surat,4800.0
110,Rahul,25.0,IT,50000.0,Medium,2.0,Ahmedabad,5000.0
111,Kriti,26.0,Finance,0.0,Low,3.0,Rajkot,0.0
112,Ankit,0.0,Sales,58000.0,Medium,0.0,Vadodara,5800.0
114,Meena,24.0,Finance,52000.0,Medium,0.0,Ahmedabad,5200.0
115,Suresh,0.0,IT,62000.0,High,5.0,Surat,6200.0
